aug_kl   AUC 0.6263, Accuracy 0.6047, TPR@5% FPR of 0.1689
Min_0% renyi_1   AUC 0.5056, Accuracy 0.5236, TPR@5% FPR of 0.0574
Min_0% renyi_2   AUC 0.4865, Accuracy 0.5220, TPR@5% FPR of 0.0507
Min_0% renyi_inf   AUC 0.5325, Accuracy 0.5439, TPR@5% FPR of 0.0845
Min_5.0% renyi_05   AUC 0.5217, Accuracy 0.5287, TPR@5% FPR of 0.0574
Min_5.0% renyi_1   AUC 0.5056, Accuracy 0.5236, TPR@5% FPR of 0.0574
Min_5.0% renyi_2   AUC 0.4865, Accuracy 0.5220, TPR@5% FPR of 0.0507
Min_5.0% renyi_inf   AUC 0.5325, Accuracy 0.5439, TPR@5% FPR of 0.0845
Min_10.0% renyi_05   AUC 0.5104, Accuracy 0.5253, TPR@5% FPR of 0.0541
Min_10.0% renyi_1   AUC 0.4880, Accuracy 0.5084, TPR@5% FPR of 0.0642
Min_10.0% renyi_2   AUC 0.4739, Accuracy 0.5236, TPR@5% FPR of 0.0473
Min_10.0% renyi_inf   AUC 0.4976, Accuracy 0.5321, TPR@5% FPR of 0.0777
Min_20.0% renyi_05   AUC 0.5039, Accuracy 0.5203, TPR@5% FPR of 0.0372
Min_20.0% renyi_1   AUC 0.4933, Accuracy 0.5084, TPR@5% FPR of 0.0473
Min_20.0% renyi_2   AUC 0.4845, Accuracy 0.5186, TPR@5% FPR of 0.0507
Min_20.0% renyi_inf   AUC 0.4728, Accuracy 0.5253, TPR@5% FPR of 0.0676
Min_30.0% renyi_05   AUC 0.4887, Accuracy 0.5152, TPR@5% FPR of 0.0304
Min_30.0% renyi_1   AUC 0.4886, Accuracy 0.5118, TPR@5% FPR of 0.0338
Min_30.0% renyi_2   AUC 0.4991, Accuracy 0.5220, TPR@5% FPR of 0.0405
Min_30.0% renyi_inf   AUC 0.4661, Accuracy 0.5220, TPR@5% FPR of 0.0743
Min_40.0% renyi_05   AUC 0.4853, Accuracy 0.5152, TPR@5% FPR of 0.0439
Min_40.0% renyi_1   AUC 0.4982, Accuracy 0.5135, TPR@5% FPR of 0.0439
Min_40.0% renyi_2   AUC 0.5184, Accuracy 0.5321, TPR@5% FPR of 0.0372
Min_40.0% renyi_inf   AUC 0.4734, Accuracy 0.5236, TPR@5% FPR of 0.0405
Min_50.0% renyi_05   AUC 0.4818, Accuracy 0.5152, TPR@5% FPR of 0.0236
Min_50.0% renyi_1   AUC 0.5004, Accuracy 0.5270, TPR@5% FPR of 0.0270
Min_50.0% renyi_2   AUC 0.5192, Accuracy 0.5338, TPR@5% FPR of 0.0405
Min_50.0% renyi_inf   AUC 0.4689, Accuracy 0.5135, TPR@5% FPR of 0.0372
Min_60.0% renyi_05   AUC 0.4895, Accuracy 0.5169, TPR@5% FPR of 0.0203
Min_60.0% renyi_1   AUC 0.5067, Accuracy 0.5304, TPR@5% FPR of 0.0304
Min_60.0% renyi_2   AUC 0.5250, Accuracy 0.5422, TPR@5% FPR of 0.0372
