Min_0% renyi_1   AUC 0.4458, Accuracy 0.5100, TPR@5% FPR of 0.0367
Min_0% renyi_2   AUC 0.4902, Accuracy 0.5183, TPR@5% FPR of 0.0400
Min_0% renyi_inf   AUC 0.4580, Accuracy 0.5100, TPR@5% FPR of 0.0633
Min_5.0% renyi_05   AUC 0.4527, Accuracy 0.5100, TPR@5% FPR of 0.0400
Min_5.0% renyi_1   AUC 0.4458, Accuracy 0.5100, TPR@5% FPR of 0.0367
Min_5.0% renyi_2   AUC 0.4902, Accuracy 0.5183, TPR@5% FPR of 0.0400
Min_5.0% renyi_inf   AUC 0.4580, Accuracy 0.5100, TPR@5% FPR of 0.0633
Min_10.0% renyi_05   AUC 0.4483, Accuracy 0.5150, TPR@5% FPR of 0.0400
Min_10.0% renyi_1   AUC 0.4559, Accuracy 0.5200, TPR@5% FPR of 0.0233
Min_10.0% renyi_2   AUC 0.5265, Accuracy 0.5417, TPR@5% FPR of 0.0300
Min_10.0% renyi_inf   AUC 0.4529, Accuracy 0.5083, TPR@5% FPR of 0.0633
Min_20.0% renyi_05   AUC 0.4802, Accuracy 0.5200, TPR@5% FPR of 0.0200
Min_20.0% renyi_1   AUC 0.4790, Accuracy 0.5183, TPR@5% FPR of 0.0133
Min_20.0% renyi_2   AUC 0.5249, Accuracy 0.5367, TPR@5% FPR of 0.0433
Min_20.0% renyi_inf   AUC 0.4719, Accuracy 0.5050, TPR@5% FPR of 0.0333
Min_30.0% renyi_05   AUC 0.5013, Accuracy 0.5367, TPR@5% FPR of 0.0167
Min_30.0% renyi_1   AUC 0.5060, Accuracy 0.5333, TPR@5% FPR of 0.0133
Min_30.0% renyi_2   AUC 0.5254, Accuracy 0.5483, TPR@5% FPR of 0.0367
Min_30.0% renyi_inf   AUC 0.4938, Accuracy 0.5117, TPR@5% FPR of 0.0300
Min_40.0% renyi_05   AUC 0.4996, Accuracy 0.5300, TPR@5% FPR of 0.0233
Min_40.0% renyi_1   AUC 0.5238, Accuracy 0.5517, TPR@5% FPR of 0.0100
Min_40.0% renyi_2   AUC 0.5423, Accuracy 0.5650, TPR@5% FPR of 0.0200
Min_40.0% renyi_inf   AUC 0.4952, Accuracy 0.5150, TPR@5% FPR of 0.0400
Min_50.0% renyi_05   AUC 0.4939, Accuracy 0.5217, TPR@5% FPR of 0.0333
Min_50.0% renyi_1   AUC 0.5310, Accuracy 0.5500, TPR@5% FPR of 0.0300
Min_50.0% renyi_2   AUC 0.5610, Accuracy 0.5617, TPR@5% FPR of 0.0267
Min_50.0% renyi_inf   AUC 0.5084, Accuracy 0.5250, TPR@5% FPR of 0.0367
Min_60.0% renyi_05   AUC 0.4930, Accuracy 0.5200, TPR@5% FPR of 0.0333
Min_60.0% renyi_1   AUC 0.5307, Accuracy 0.5483, TPR@5% FPR of 0.0233
Min_60.0% renyi_2   AUC 0.5674, Accuracy 0.5733, TPR@5% FPR of 0.0333
Min_60.0% renyi_inf   AUC 0.5223, Accuracy 0.5400, TPR@5% FPR of 0.0467
Min_70.0% renyi_05   AUC 0.5090, Accuracy 0.5350, TPR@5% FPR of 0.0267
Min_70.0% renyi_1   AUC 0.5400, Accuracy 0.5450, TPR@5% FPR of 0.0200
Min_70.0% renyi_2   AUC 0.5705, Accuracy 0.5783, TPR@5% FPR of 0.0467
Min_70.0% renyi_inf   AUC 0.5338, Accuracy 0.5433, TPR@5% FPR of 0.0533
Min_80.0% renyi_05   AUC 0.5253, Accuracy 0.5433, TPR@5% FPR of 0.0367
Min_80.0% renyi_1   AUC 0.5501, Accuracy 0.5517, TPR@5% FPR of 0.0333
Min_80.0% renyi_2   AUC 0.5725, Accuracy 0.5767, TPR@5% FPR of 0.0467
Min_80.0% renyi_inf   AUC 0.5326, Accuracy 0.5417, TPR@5% FPR of 0.0533
Min_90.0% renyi_05   AUC 0.5464, Accuracy 0.5567, TPR@5% FPR of 0.0333
Min_90.0% renyi_1   AUC 0.5666, Accuracy 0.5700, TPR@5% FPR of 0.0467
Min_90.0% renyi_2   AUC 0.5743, Accuracy 0.5733, TPR@5% FPR of 0.0367
Min_90.0% renyi_inf   AUC 0.5341, Accuracy 0.5383, TPR@5% FPR of 0.0467
Min_100% renyi_05   AUC 0.5428, Accuracy 0.5567, TPR@5% FPR of 0.0267
Min_100% renyi_1   AUC 0.5572, Accuracy 0.5683, TPR@5% FPR of 0.0233
Min_100% renyi_2   AUC 0.5687, Accuracy 0.5783, TPR@5% FPR of 0.0433
Min_100% renyi_inf   AUC 0.5352, Accuracy 0.5500, TPR@5% FPR of 0.0400
