aug_kl   AUC 0.4944, Accuracy 0.5183, TPR@5% FPR of 0.0333
Min_0% renyi_1   AUC 0.6631, Accuracy 0.6333, TPR@5% FPR of 0.0667
Min_0% renyi_2   AUC 0.6646, Accuracy 0.6350, TPR@5% FPR of 0.0700
Min_0% renyi_inf   AUC 0.6646, Accuracy 0.6350, TPR@5% FPR of 0.0700
Min_5.0% renyi_05   AUC 0.6413, Accuracy 0.6050, TPR@5% FPR of 0.1067
Min_5.0% renyi_1   AUC 0.6631, Accuracy 0.6333, TPR@5% FPR of 0.0667
Min_5.0% renyi_2   AUC 0.6646, Accuracy 0.6350, TPR@5% FPR of 0.0700
Min_5.0% renyi_inf   AUC 0.6646, Accuracy 0.6350, TPR@5% FPR of 0.0700
Min_10.0% renyi_05   AUC 0.6456, Accuracy 0.6217, TPR@5% FPR of 0.1567
Min_10.0% renyi_1   AUC 0.6354, Accuracy 0.6317, TPR@5% FPR of 0.1133
Min_10.0% renyi_2   AUC 0.6343, Accuracy 0.6250, TPR@5% FPR of 0.1133
Min_10.0% renyi_inf   AUC 0.6343, Accuracy 0.6250, TPR@5% FPR of 0.1133
Min_20.0% renyi_05   AUC 0.6602, Accuracy 0.6350, TPR@5% FPR of 0.1267
Min_20.0% renyi_1   AUC 0.6435, Accuracy 0.6300, TPR@5% FPR of 0.1300
Min_20.0% renyi_2   AUC 0.6431, Accuracy 0.6267, TPR@5% FPR of 0.1333
Min_20.0% renyi_inf   AUC 0.6433, Accuracy 0.6267, TPR@5% FPR of 0.1333
Min_30.0% renyi_05   AUC 0.6753, Accuracy 0.6550, TPR@5% FPR of 0.1533
Min_30.0% renyi_1   AUC 0.6484, Accuracy 0.6167, TPR@5% FPR of 0.1467
Min_30.0% renyi_2   AUC 0.6433, Accuracy 0.6117, TPR@5% FPR of 0.1433
Min_30.0% renyi_inf   AUC 0.6430, Accuracy 0.6117, TPR@5% FPR of 0.1433
Min_40.0% renyi_05   AUC 0.6840, Accuracy 0.6533, TPR@5% FPR of 0.1200
Min_40.0% renyi_1   AUC 0.6522, Accuracy 0.6317, TPR@5% FPR of 0.1267
Min_40.0% renyi_2   AUC 0.6406, Accuracy 0.6117, TPR@5% FPR of 0.1433
Min_40.0% renyi_inf   AUC 0.6391, Accuracy 0.6117, TPR@5% FPR of 0.1433
Min_50.0% renyi_05   AUC 0.6870, Accuracy 0.6567, TPR@5% FPR of 0.1267
Min_50.0% renyi_1   AUC 0.6578, Accuracy 0.6367, TPR@5% FPR of 0.1000
Min_50.0% renyi_2   AUC 0.6418, Accuracy 0.6183, TPR@5% FPR of 0.1267
Min_50.0% renyi_inf   AUC 0.6382, Accuracy 0.6183, TPR@5% FPR of 0.1267
Min_60.0% renyi_05   AUC 0.6926, Accuracy 0.6633, TPR@5% FPR of 0.1200
Min_60.0% renyi_1   AUC 0.6686, Accuracy 0.6450, TPR@5% FPR of 0.1267
Min_60.0% renyi_2   AUC 0.6478, Accuracy 0.6233, TPR@5% FPR of 0.1333
Min_60.0% renyi_inf   AUC 0.6434, Accuracy 0.6233, TPR@5% FPR of 0.1433
Min_70.0% renyi_05   AUC 0.6983, Accuracy 0.6700, TPR@5% FPR of 0.1233
Min_70.0% renyi_1   AUC 0.6741, Accuracy 0.6517, TPR@5% FPR of 0.1333
Min_70.0% renyi_2   AUC 0.6531, Accuracy 0.6383, TPR@5% FPR of 0.1333
Min_70.0% renyi_inf   AUC 0.6452, Accuracy 0.6250, TPR@5% FPR of 0.1367
Min_80.0% renyi_05   AUC 0.7037, Accuracy 0.6867, TPR@5% FPR of 0.1267
Min_80.0% renyi_1   AUC 0.6811, Accuracy 0.6533, TPR@5% FPR of 0.1367
Min_80.0% renyi_2   AUC 0.6591, Accuracy 0.6333, TPR@5% FPR of 0.1433
Min_80.0% renyi_inf   AUC 0.6506, Accuracy 0.6300, TPR@5% FPR of 0.1367
Min_90.0% renyi_05   AUC 0.7050, Accuracy 0.6917, TPR@5% FPR of 0.1267
Min_90.0% renyi_1   AUC 0.6883, Accuracy 0.6583, TPR@5% FPR of 0.1567
Min_90.0% renyi_2   AUC 0.6675, Accuracy 0.6467, TPR@5% FPR of 0.1300
Min_90.0% renyi_inf   AUC 0.6562, Accuracy 0.6300, TPR@5% FPR of 0.1400
Min_100% renyi_05   AUC 0.7052, Accuracy 0.6883, TPR@5% FPR of 0.0967
Min_100% renyi_1   AUC 0.6945, Accuracy 0.6750, TPR@5% FPR of 0.1133
Min_100% renyi_2   AUC 0.6779, Accuracy 0.6550, TPR@5% FPR of 0.1400
Min_100% renyi_inf   AUC 0.6654, Accuracy 0.6450, TPR@5% FPR of 0.1433
