aug_kl   AUC 0.5279, Accuracy 0.5450, TPR@5% FPR of 0.0600
Min_0% renyi_1   AUC 0.7486, Accuracy 0.6867, TPR@5% FPR of 0.2500
Min_0% renyi_2   AUC 0.7513, Accuracy 0.6867, TPR@5% FPR of 0.2533
Min_0% renyi_inf   AUC 0.7513, Accuracy 0.6867, TPR@5% FPR of 0.2533
Min_5.0% renyi_05   AUC 0.7077, Accuracy 0.6717, TPR@5% FPR of 0.2033
Min_5.0% renyi_1   AUC 0.7486, Accuracy 0.6867, TPR@5% FPR of 0.2500
Min_5.0% renyi_2   AUC 0.7513, Accuracy 0.6867, TPR@5% FPR of 0.2533
Min_5.0% renyi_inf   AUC 0.7513, Accuracy 0.6867, TPR@5% FPR of 0.2533
Min_10.0% renyi_05   AUC 0.7077, Accuracy 0.6717, TPR@5% FPR of 0.2033
Min_10.0% renyi_1   AUC 0.7486, Accuracy 0.6867, TPR@5% FPR of 0.2500
Min_10.0% renyi_2   AUC 0.7513, Accuracy 0.6867, TPR@5% FPR of 0.2533
Min_10.0% renyi_inf   AUC 0.7513, Accuracy 0.6867, TPR@5% FPR of 0.2533
Min_20.0% renyi_05   AUC 0.7369, Accuracy 0.6883, TPR@5% FPR of 0.1967
Min_20.0% renyi_1   AUC 0.6187, Accuracy 0.6083, TPR@5% FPR of 0.0900
Min_20.0% renyi_2   AUC 0.5262, Accuracy 0.5417, TPR@5% FPR of 0.0633
Min_20.0% renyi_inf   AUC 0.5261, Accuracy 0.5417, TPR@5% FPR of 0.0633
Min_30.0% renyi_05   AUC 0.6734, Accuracy 0.6300, TPR@5% FPR of 0.2067
Min_30.0% renyi_1   AUC 0.6907, Accuracy 0.6450, TPR@5% FPR of 0.1100
Min_30.0% renyi_2   AUC 0.6876, Accuracy 0.6433, TPR@5% FPR of 0.1333
Min_30.0% renyi_inf   AUC 0.6875, Accuracy 0.6433, TPR@5% FPR of 0.1300
Min_40.0% renyi_05   AUC 0.7213, Accuracy 0.6700, TPR@5% FPR of 0.1700
Min_40.0% renyi_1   AUC 0.7259, Accuracy 0.6583, TPR@5% FPR of 0.2267
Min_40.0% renyi_2   AUC 0.6865, Accuracy 0.6500, TPR@5% FPR of 0.2067
Min_40.0% renyi_inf   AUC 0.6853, Accuracy 0.6533, TPR@5% FPR of 0.2067
