Min_0% renyi_1   AUC 0.5334, Accuracy 0.5507, TPR@5% FPR of 0.0845
Min_0% renyi_2   AUC 0.5283, Accuracy 0.5473, TPR@5% FPR of 0.0743
Min_0% renyi_inf   AUC 0.5283, Accuracy 0.5473, TPR@5% FPR of 0.0743
Min_5.0% renyi_05   AUC 0.5479, Accuracy 0.5659, TPR@5% FPR of 0.0946
Min_5.0% renyi_1   AUC 0.5334, Accuracy 0.5507, TPR@5% FPR of 0.0845
Min_5.0% renyi_2   AUC 0.5283, Accuracy 0.5473, TPR@5% FPR of 0.0743
Min_5.0% renyi_inf   AUC 0.5283, Accuracy 0.5473, TPR@5% FPR of 0.0743
Min_10.0% renyi_05   AUC 0.5479, Accuracy 0.5659, TPR@5% FPR of 0.0946
Min_10.0% renyi_1   AUC 0.5334, Accuracy 0.5507, TPR@5% FPR of 0.0845
Min_10.0% renyi_2   AUC 0.5283, Accuracy 0.5473, TPR@5% FPR of 0.0743
Min_10.0% renyi_inf   AUC 0.5283, Accuracy 0.5473, TPR@5% FPR of 0.0743
Min_20.0% renyi_05   AUC 0.5442, Accuracy 0.5541, TPR@5% FPR of 0.1385
Min_20.0% renyi_1   AUC 0.5620, Accuracy 0.5642, TPR@5% FPR of 0.0541
Min_20.0% renyi_2   AUC 0.4317, Accuracy 0.5068, TPR@5% FPR of 0.0270
Min_20.0% renyi_inf   AUC 0.4315, Accuracy 0.5068, TPR@5% FPR of 0.0270
Min_30.0% renyi_05   AUC 0.4746, Accuracy 0.5084, TPR@5% FPR of 0.0372
Min_30.0% renyi_1   AUC 0.6883, Accuracy 0.6622, TPR@5% FPR of 0.3514
Min_30.0% renyi_2   AUC 0.7068, Accuracy 0.6706, TPR@5% FPR of 0.3547
Min_30.0% renyi_inf   AUC 0.7068, Accuracy 0.6706, TPR@5% FPR of 0.3547
Min_40.0% renyi_05   AUC 0.5112, Accuracy 0.5405, TPR@5% FPR of 0.0946
Min_40.0% renyi_1   AUC 0.6042, Accuracy 0.6115, TPR@5% FPR of 0.1655
Min_40.0% renyi_2   AUC 0.5341, Accuracy 0.5642, TPR@5% FPR of 0.1115
Min_40.0% renyi_inf   AUC 0.5351, Accuracy 0.5642, TPR@5% FPR of 0.1081
Min_50.0% renyi_05   AUC 0.5050, Accuracy 0.5372, TPR@5% FPR of 0.0811
Min_50.0% renyi_1   AUC 0.5285, Accuracy 0.5541, TPR@5% FPR of 0.0676
Min_50.0% renyi_2   AUC 0.6183, Accuracy 0.6182, TPR@5% FPR of 0.2061
Min_50.0% renyi_inf   AUC 0.6256, Accuracy 0.6115, TPR@5% FPR of 0.1858
Min_60.0% renyi_05   AUC 0.5050, Accuracy 0.5321, TPR@5% FPR of 0.0777
Min_60.0% renyi_1   AUC 0.5365, Accuracy 0.5642, TPR@5% FPR of 0.0811
Min_60.0% renyi_2   AUC 0.6221, Accuracy 0.6149, TPR@5% FPR of 0.1757
Min_60.0% renyi_inf   AUC 0.5985, Accuracy 0.5929, TPR@5% FPR of 0.1216
Min_70.0% renyi_05   AUC 0.5056, Accuracy 0.5304, TPR@5% FPR of 0.0676
Min_70.0% renyi_1   AUC 0.5506, Accuracy 0.5726, TPR@5% FPR of 0.0845
Min_70.0% renyi_2   AUC 0.5989, Accuracy 0.5929, TPR@5% FPR of 0.1149
Min_70.0% renyi_inf   AUC 0.5735, Accuracy 0.5676, TPR@5% FPR of 0.0845
Min_80.0% renyi_05   AUC 0.5288, Accuracy 0.5372, TPR@5% FPR of 0.0709
Min_80.0% renyi_1   AUC 0.6176, Accuracy 0.6149, TPR@5% FPR of 0.1250
Min_80.0% renyi_2   AUC 0.5889, Accuracy 0.5828, TPR@5% FPR of 0.0912
Min_80.0% renyi_inf   AUC 0.5615, Accuracy 0.5676, TPR@5% FPR of 0.0777
Min_90.0% renyi_05   AUC 0.5325, Accuracy 0.5405, TPR@5% FPR of 0.0811
Min_90.0% renyi_1   AUC 0.6031, Accuracy 0.6132, TPR@5% FPR of 0.1216
Min_90.0% renyi_2   AUC 0.5911, Accuracy 0.5963, TPR@5% FPR of 0.1081
Min_90.0% renyi_inf   AUC 0.5642, Accuracy 0.5693, TPR@5% FPR of 0.0845
Min_100% renyi_05   AUC 0.5322, Accuracy 0.5439, TPR@5% FPR of 0.0912
Min_100% renyi_1   AUC 0.5706, Accuracy 0.5625, TPR@5% FPR of 0.0912
Min_100% renyi_2   AUC 0.5624, Accuracy 0.5693, TPR@5% FPR of 0.1081
Min_100% renyi_inf   AUC 0.5526, Accuracy 0.5642, TPR@5% FPR of 0.1115
