Min_0% renyi_1   AUC 0.5569, Accuracy 0.5717, TPR@5% FPR of 0.1033
Min_0% renyi_2   AUC 0.5359, Accuracy 0.5650, TPR@5% FPR of 0.0567
Min_0% renyi_inf   AUC 0.4952, Accuracy 0.5150, TPR@5% FPR of 0.0433
Min_5.0% renyi_05   AUC 0.5729, Accuracy 0.5700, TPR@5% FPR of 0.0767
Min_5.0% renyi_1   AUC 0.5569, Accuracy 0.5717, TPR@5% FPR of 0.1033
Min_5.0% renyi_2   AUC 0.5359, Accuracy 0.5650, TPR@5% FPR of 0.0567
Min_5.0% renyi_inf   AUC 0.4952, Accuracy 0.5150, TPR@5% FPR of 0.0433
Min_10.0% renyi_05   AUC 0.5225, Accuracy 0.5400, TPR@5% FPR of 0.0833
Min_10.0% renyi_1   AUC 0.4964, Accuracy 0.5250, TPR@5% FPR of 0.0533
Min_10.0% renyi_2   AUC 0.4873, Accuracy 0.5167, TPR@5% FPR of 0.0367
Min_10.0% renyi_inf   AUC 0.4896, Accuracy 0.5100, TPR@5% FPR of 0.0267
Min_20.0% renyi_05   AUC 0.5107, Accuracy 0.5433, TPR@5% FPR of 0.0900
Min_20.0% renyi_1   AUC 0.5240, Accuracy 0.5350, TPR@5% FPR of 0.0767
Min_20.0% renyi_2   AUC 0.5387, Accuracy 0.5433, TPR@5% FPR of 0.0667
Min_20.0% renyi_inf   AUC 0.4877, Accuracy 0.5133, TPR@5% FPR of 0.0633
Min_30.0% renyi_05   AUC 0.4880, Accuracy 0.5217, TPR@5% FPR of 0.0667
Min_30.0% renyi_1   AUC 0.5250, Accuracy 0.5333, TPR@5% FPR of 0.0800
Min_30.0% renyi_2   AUC 0.5156, Accuracy 0.5267, TPR@5% FPR of 0.0467
Min_30.0% renyi_inf   AUC 0.5087, Accuracy 0.5267, TPR@5% FPR of 0.0567
Min_40.0% renyi_05   AUC 0.4846, Accuracy 0.5217, TPR@5% FPR of 0.0667
Min_40.0% renyi_1   AUC 0.5033, Accuracy 0.5217, TPR@5% FPR of 0.0600
Min_40.0% renyi_2   AUC 0.4921, Accuracy 0.5217, TPR@5% FPR of 0.0500
Min_40.0% renyi_inf   AUC 0.5027, Accuracy 0.5217, TPR@5% FPR of 0.0800
Min_50.0% renyi_05   AUC 0.4914, Accuracy 0.5250, TPR@5% FPR of 0.0833
Min_50.0% renyi_1   AUC 0.4965, Accuracy 0.5217, TPR@5% FPR of 0.0633
Min_50.0% renyi_2   AUC 0.4861, Accuracy 0.5200, TPR@5% FPR of 0.0700
Min_50.0% renyi_inf   AUC 0.5068, Accuracy 0.5267, TPR@5% FPR of 0.0600
Min_60.0% renyi_05   AUC 0.4996, Accuracy 0.5267, TPR@5% FPR of 0.0800
Min_60.0% renyi_1   AUC 0.5004, Accuracy 0.5267, TPR@5% FPR of 0.0767
Min_60.0% renyi_2   AUC 0.4867, Accuracy 0.5200, TPR@5% FPR of 0.0767
Min_60.0% renyi_inf   AUC 0.5139, Accuracy 0.5317, TPR@5% FPR of 0.0667
Min_70.0% renyi_05   AUC 0.4978, Accuracy 0.5367, TPR@5% FPR of 0.1100
Min_70.0% renyi_1   AUC 0.5032, Accuracy 0.5333, TPR@5% FPR of 0.0933
Min_70.0% renyi_2   AUC 0.4964, Accuracy 0.5283, TPR@5% FPR of 0.0600
Min_70.0% renyi_inf   AUC 0.5088, Accuracy 0.5233, TPR@5% FPR of 0.0667
Min_80.0% renyi_05   AUC 0.5035, Accuracy 0.5367, TPR@5% FPR of 0.1133
Min_80.0% renyi_1   AUC 0.5092, Accuracy 0.5383, TPR@5% FPR of 0.1100
Min_80.0% renyi_2   AUC 0.5125, Accuracy 0.5283, TPR@5% FPR of 0.0800
Min_80.0% renyi_inf   AUC 0.5092, Accuracy 0.5217, TPR@5% FPR of 0.0700
Min_90.0% renyi_05   AUC 0.5057, Accuracy 0.5350, TPR@5% FPR of 0.0767
Min_90.0% renyi_1   AUC 0.5189, Accuracy 0.5400, TPR@5% FPR of 0.1100
Min_90.0% renyi_2   AUC 0.5270, Accuracy 0.5367, TPR@5% FPR of 0.0867
Min_90.0% renyi_inf   AUC 0.5090, Accuracy 0.5233, TPR@5% FPR of 0.0533
Min_100% renyi_05   AUC 0.4868, Accuracy 0.5300, TPR@5% FPR of 0.0633
Min_100% renyi_1   AUC 0.4970, Accuracy 0.5383, TPR@5% FPR of 0.0933
Min_100% renyi_2   AUC 0.5157, Accuracy 0.5267, TPR@5% FPR of 0.0833
Min_100% renyi_inf   AUC 0.5276, Accuracy 0.5367, TPR@5% FPR of 0.0800
