Min_0% renyi_1   AUC 0.3771, Accuracy 0.5000, TPR@5% FPR of 0.0100
Min_0% renyi_2   AUC 0.4439, Accuracy 0.5233, TPR@5% FPR of 0.0800
Min_0% renyi_inf   AUC 0.5700, Accuracy 0.5683, TPR@5% FPR of 0.0933
Min_5.0% renyi_05   AUC 0.3582, Accuracy 0.5000, TPR@5% FPR of 0.0167
Min_5.0% renyi_1   AUC 0.3771, Accuracy 0.5000, TPR@5% FPR of 0.0100
Min_5.0% renyi_2   AUC 0.4439, Accuracy 0.5233, TPR@5% FPR of 0.0800
Min_5.0% renyi_inf   AUC 0.5700, Accuracy 0.5683, TPR@5% FPR of 0.0933
Min_10.0% renyi_05   AUC 0.3445, Accuracy 0.5000, TPR@5% FPR of 0.0100
Min_10.0% renyi_1   AUC 0.3828, Accuracy 0.5000, TPR@5% FPR of 0.0133
Min_10.0% renyi_2   AUC 0.4724, Accuracy 0.5350, TPR@5% FPR of 0.0933
Min_10.0% renyi_inf   AUC 0.5604, Accuracy 0.5517, TPR@5% FPR of 0.0867
Min_20.0% renyi_05   AUC 0.3585, Accuracy 0.5000, TPR@5% FPR of 0.0167
Min_20.0% renyi_1   AUC 0.3603, Accuracy 0.5000, TPR@5% FPR of 0.0233
Min_20.0% renyi_2   AUC 0.4196, Accuracy 0.5050, TPR@5% FPR of 0.0333
Min_20.0% renyi_inf   AUC 0.4943, Accuracy 0.5250, TPR@5% FPR of 0.0700
Min_30.0% renyi_05   AUC 0.3481, Accuracy 0.5017, TPR@5% FPR of 0.0167
Min_30.0% renyi_1   AUC 0.3469, Accuracy 0.5017, TPR@5% FPR of 0.0267
Min_30.0% renyi_2   AUC 0.4190, Accuracy 0.5017, TPR@5% FPR of 0.0367
Min_30.0% renyi_inf   AUC 0.4548, Accuracy 0.5050, TPR@5% FPR of 0.0533
Min_40.0% renyi_05   AUC 0.3930, Accuracy 0.5033, TPR@5% FPR of 0.0300
