aug_kl   AUC 0.5835, Accuracy 0.5794, TPR@5% FPR of 0.1014
Min_0% renyi_1   AUC 0.4936, Accuracy 0.5321, TPR@5% FPR of 0.0507
Min_0% renyi_2   AUC 0.4924, Accuracy 0.5304, TPR@5% FPR of 0.0507
Min_0% renyi_inf   AUC 0.4924, Accuracy 0.5304, TPR@5% FPR of 0.0507
Min_5.0% renyi_05   AUC 0.5094, Accuracy 0.5321, TPR@5% FPR of 0.0777
Min_5.0% renyi_1   AUC 0.5083, Accuracy 0.5270, TPR@5% FPR of 0.0845
Min_5.0% renyi_2   AUC 0.5076, Accuracy 0.5220, TPR@5% FPR of 0.0878
Min_5.0% renyi_inf   AUC 0.5076, Accuracy 0.5220, TPR@5% FPR of 0.0878
Min_10.0% renyi_05   AUC 0.5227, Accuracy 0.5287, TPR@5% FPR of 0.0878
Min_10.0% renyi_1   AUC 0.5220, Accuracy 0.5355, TPR@5% FPR of 0.0743
Min_10.0% renyi_2   AUC 0.5176, Accuracy 0.5321, TPR@5% FPR of 0.0743
Min_10.0% renyi_inf   AUC 0.5176, Accuracy 0.5321, TPR@5% FPR of 0.0743
Min_20.0% renyi_05   AUC 0.5112, Accuracy 0.5236, TPR@5% FPR of 0.0541
Min_20.0% renyi_1   AUC 0.5184, Accuracy 0.5270, TPR@5% FPR of 0.0541
Min_20.0% renyi_2   AUC 0.5220, Accuracy 0.5287, TPR@5% FPR of 0.0507
Min_20.0% renyi_inf   AUC 0.5222, Accuracy 0.5287, TPR@5% FPR of 0.0507
Min_30.0% renyi_05   AUC 0.5123, Accuracy 0.5270, TPR@5% FPR of 0.0608
Min_30.0% renyi_1   AUC 0.5248, Accuracy 0.5338, TPR@5% FPR of 0.0676
Min_30.0% renyi_2   AUC 0.5234, Accuracy 0.5338, TPR@5% FPR of 0.0743
Min_30.0% renyi_inf   AUC 0.5226, Accuracy 0.5321, TPR@5% FPR of 0.0743
Min_40.0% renyi_05   AUC 0.5113, Accuracy 0.5220, TPR@5% FPR of 0.0608
Min_40.0% renyi_1   AUC 0.5257, Accuracy 0.5338, TPR@5% FPR of 0.0574
Min_40.0% renyi_2   AUC 0.5211, Accuracy 0.5321, TPR@5% FPR of 0.0574
Min_40.0% renyi_inf   AUC 0.5229, Accuracy 0.5338, TPR@5% FPR of 0.0574
Min_50.0% renyi_05   AUC 0.5137, Accuracy 0.5203, TPR@5% FPR of 0.0642
Min_50.0% renyi_1   AUC 0.5215, Accuracy 0.5270, TPR@5% FPR of 0.0439
Min_50.0% renyi_2   AUC 0.5290, Accuracy 0.5355, TPR@5% FPR of 0.0473
Min_50.0% renyi_inf   AUC 0.5288, Accuracy 0.5338, TPR@5% FPR of 0.0473
Min_60.0% renyi_05   AUC 0.5152, Accuracy 0.5253, TPR@5% FPR of 0.0574
Min_60.0% renyi_1   AUC 0.5223, Accuracy 0.5304, TPR@5% FPR of 0.0473
Min_60.0% renyi_2   AUC 0.5319, Accuracy 0.5372, TPR@5% FPR of 0.0507
Min_60.0% renyi_inf   AUC 0.5311, Accuracy 0.5304, TPR@5% FPR of 0.0439
Min_70.0% renyi_05   AUC 0.5167, Accuracy 0.5287, TPR@5% FPR of 0.0507
Min_70.0% renyi_1   AUC 0.5245, Accuracy 0.5287, TPR@5% FPR of 0.0642
Min_70.0% renyi_2   AUC 0.5260, Accuracy 0.5355, TPR@5% FPR of 0.0574
Min_70.0% renyi_inf   AUC 0.5235, Accuracy 0.5355, TPR@5% FPR of 0.0574
Min_80.0% renyi_05   AUC 0.5172, Accuracy 0.5270, TPR@5% FPR of 0.0439
Min_80.0% renyi_1   AUC 0.5303, Accuracy 0.5405, TPR@5% FPR of 0.0574
Min_80.0% renyi_2   AUC 0.5251, Accuracy 0.5355, TPR@5% FPR of 0.0507
Min_80.0% renyi_inf   AUC 0.5187, Accuracy 0.5338, TPR@5% FPR of 0.0541
Min_90.0% renyi_05   AUC 0.5177, Accuracy 0.5321, TPR@5% FPR of 0.0405
Min_90.0% renyi_1   AUC 0.5298, Accuracy 0.5372, TPR@5% FPR of 0.0608
Min_90.0% renyi_2   AUC 0.5233, Accuracy 0.5355, TPR@5% FPR of 0.0642
Min_90.0% renyi_inf   AUC 0.5168, Accuracy 0.5389, TPR@5% FPR of 0.0608
Min_100% renyi_05   AUC 0.5191, Accuracy 0.5270, TPR@5% FPR of 0.0405
Min_100% renyi_1   AUC 0.5304, Accuracy 0.5422, TPR@5% FPR of 0.0541
Min_100% renyi_2   AUC 0.5227, Accuracy 0.5321, TPR@5% FPR of 0.0473
Min_100% renyi_inf   AUC 0.5157, Accuracy 0.5253, TPR@5% FPR of 0.0507
