aug_kl   AUC 0.4157, Accuracy 0.5017, TPR@5% FPR of 0.0200
Min_0% renyi_1   AUC 0.4704, Accuracy 0.5200, TPR@5% FPR of 0.0333
Min_0% renyi_2   AUC 0.4926, Accuracy 0.5117, TPR@5% FPR of 0.0433
Min_0% renyi_inf   AUC 0.4932, Accuracy 0.5183, TPR@5% FPR of 0.0467
Min_5.0% renyi_05   AUC 0.4400, Accuracy 0.5150, TPR@5% FPR of 0.0367
Min_5.0% renyi_1   AUC 0.4486, Accuracy 0.5200, TPR@5% FPR of 0.0333
Min_5.0% renyi_2   AUC 0.4901, Accuracy 0.5133, TPR@5% FPR of 0.0433
Min_5.0% renyi_inf   AUC 0.4884, Accuracy 0.5167, TPR@5% FPR of 0.0400
Min_10.0% renyi_05   AUC 0.4159, Accuracy 0.5100, TPR@5% FPR of 0.0300
Min_10.0% renyi_1   AUC 0.4302, Accuracy 0.5167, TPR@5% FPR of 0.0400
Min_10.0% renyi_2   AUC 0.4725, Accuracy 0.5083, TPR@5% FPR of 0.0467
Min_10.0% renyi_inf   AUC 0.4758, Accuracy 0.5100, TPR@5% FPR of 0.0367
Min_20.0% renyi_05   AUC 0.4423, Accuracy 0.5000, TPR@5% FPR of 0.0433
Min_20.0% renyi_1   AUC 0.4371, Accuracy 0.5067, TPR@5% FPR of 0.0467
Min_20.0% renyi_2   AUC 0.4466, Accuracy 0.5067, TPR@5% FPR of 0.0567
Min_20.0% renyi_inf   AUC 0.4922, Accuracy 0.5200, TPR@5% FPR of 0.0500
Min_30.0% renyi_05   AUC 0.4472, Accuracy 0.5017, TPR@5% FPR of 0.0467
Min_30.0% renyi_1   AUC 0.4479, Accuracy 0.5033, TPR@5% FPR of 0.0333
Min_30.0% renyi_2   AUC 0.4498, Accuracy 0.5117, TPR@5% FPR of 0.0300
Min_30.0% renyi_inf   AUC 0.5077, Accuracy 0.5367, TPR@5% FPR of 0.0733
Min_40.0% renyi_05   AUC 0.4517, Accuracy 0.5067, TPR@5% FPR of 0.0433
Min_40.0% renyi_1   AUC 0.4579, Accuracy 0.5050, TPR@5% FPR of 0.0367
Min_40.0% renyi_2   AUC 0.4593, Accuracy 0.5100, TPR@5% FPR of 0.0367
Min_40.0% renyi_inf   AUC 0.5153, Accuracy 0.5433, TPR@5% FPR of 0.1033
Min_50.0% renyi_05   AUC 0.4703, Accuracy 0.5083, TPR@5% FPR of 0.0467
Min_50.0% renyi_1   AUC 0.4673, Accuracy 0.5133, TPR@5% FPR of 0.0400
Min_50.0% renyi_2   AUC 0.4745, Accuracy 0.5100, TPR@5% FPR of 0.0300
Min_50.0% renyi_inf   AUC 0.5141, Accuracy 0.5433, TPR@5% FPR of 0.0800
Min_60.0% renyi_05   AUC 0.4785, Accuracy 0.5100, TPR@5% FPR of 0.0433
Min_60.0% renyi_1   AUC 0.4767, Accuracy 0.5150, TPR@5% FPR of 0.0367
Min_60.0% renyi_2   AUC 0.4790, Accuracy 0.5083, TPR@5% FPR of 0.0267
Min_60.0% renyi_inf   AUC 0.5104, Accuracy 0.5383, TPR@5% FPR of 0.0867
Min_70.0% renyi_05   AUC 0.4914, Accuracy 0.5200, TPR@5% FPR of 0.0467
Min_70.0% renyi_1   AUC 0.4905, Accuracy 0.5200, TPR@5% FPR of 0.0467
Min_70.0% renyi_2   AUC 0.4898, Accuracy 0.5117, TPR@5% FPR of 0.0667
Min_70.0% renyi_inf   AUC 0.5172, Accuracy 0.5417, TPR@5% FPR of 0.0833
Min_80.0% renyi_05   AUC 0.4903, Accuracy 0.5250, TPR@5% FPR of 0.0467
Min_80.0% renyi_1   AUC 0.4914, Accuracy 0.5250, TPR@5% FPR of 0.0500
Min_80.0% renyi_2   AUC 0.4900, Accuracy 0.5117, TPR@5% FPR of 0.0633
Min_80.0% renyi_inf   AUC 0.5154, Accuracy 0.5450, TPR@5% FPR of 0.0800
Min_90.0% renyi_05   AUC 0.4943, Accuracy 0.5233, TPR@5% FPR of 0.0633
Min_90.0% renyi_1   AUC 0.4977, Accuracy 0.5267, TPR@5% FPR of 0.0533
Min_90.0% renyi_2   AUC 0.4983, Accuracy 0.5300, TPR@5% FPR of 0.0500
Min_90.0% renyi_inf   AUC 0.5212, Accuracy 0.5467, TPR@5% FPR of 0.0900
Min_100% renyi_05   AUC 0.5042, Accuracy 0.5300, TPR@5% FPR of 0.0733
Min_100% renyi_1   AUC 0.4993, Accuracy 0.5383, TPR@5% FPR of 0.0467
Min_100% renyi_2   AUC 0.4980, Accuracy 0.5250, TPR@5% FPR of 0.0467
Min_100% renyi_inf   AUC 0.5195, Accuracy 0.5483, TPR@5% FPR of 0.1000
