Min_0% renyi_1   AUC 0.4633, Accuracy 0.5167, TPR@5% FPR of 0.0333
Min_0% renyi_2   AUC 0.4914, Accuracy 0.5083, TPR@5% FPR of 0.0433
Min_0% renyi_inf   AUC 0.4947, Accuracy 0.5200, TPR@5% FPR of 0.0467
Min_5.0% renyi_05   AUC 0.4083, Accuracy 0.5017, TPR@5% FPR of 0.0367
Min_5.0% renyi_1   AUC 0.4026, Accuracy 0.5000, TPR@5% FPR of 0.0333
Min_5.0% renyi_2   AUC 0.4786, Accuracy 0.5250, TPR@5% FPR of 0.0467
Min_5.0% renyi_inf   AUC 0.4945, Accuracy 0.5167, TPR@5% FPR of 0.0533
Min_10.0% renyi_05   AUC 0.3903, Accuracy 0.5000, TPR@5% FPR of 0.0333
Min_10.0% renyi_1   AUC 0.4065, Accuracy 0.5000, TPR@5% FPR of 0.0233
Min_10.0% renyi_2   AUC 0.4575, Accuracy 0.5133, TPR@5% FPR of 0.0667
Min_10.0% renyi_inf   AUC 0.5031, Accuracy 0.5200, TPR@5% FPR of 0.0533
Min_20.0% renyi_05   AUC 0.4068, Accuracy 0.5000, TPR@5% FPR of 0.0233
Min_20.0% renyi_1   AUC 0.4131, Accuracy 0.5000, TPR@5% FPR of 0.0333
Min_20.0% renyi_2   AUC 0.4482, Accuracy 0.5083, TPR@5% FPR of 0.0500
Min_20.0% renyi_inf   AUC 0.5158, Accuracy 0.5350, TPR@5% FPR of 0.0733
Min_30.0% renyi_05   AUC 0.4062, Accuracy 0.5000, TPR@5% FPR of 0.0333
Min_30.0% renyi_1   AUC 0.4124, Accuracy 0.5017, TPR@5% FPR of 0.0333
Min_30.0% renyi_2   AUC 0.4490, Accuracy 0.5083, TPR@5% FPR of 0.0233
Min_30.0% renyi_inf   AUC 0.5130, Accuracy 0.5417, TPR@5% FPR of 0.0967
Min_40.0% renyi_05   AUC 0.4259, Accuracy 0.5050, TPR@5% FPR of 0.0400
Min_40.0% renyi_1   AUC 0.4347, Accuracy 0.5050, TPR@5% FPR of 0.0367
Min_40.0% renyi_2   AUC 0.4616, Accuracy 0.5083, TPR@5% FPR of 0.0300
Min_40.0% renyi_inf   AUC 0.5086, Accuracy 0.5367, TPR@5% FPR of 0.0967
Min_50.0% renyi_05   AUC 0.4384, Accuracy 0.5050, TPR@5% FPR of 0.0367
Min_50.0% renyi_1   AUC 0.4423, Accuracy 0.5067, TPR@5% FPR of 0.0367
Min_50.0% renyi_2   AUC 0.4615, Accuracy 0.5033, TPR@5% FPR of 0.0300
Min_50.0% renyi_inf   AUC 0.5055, Accuracy 0.5367, TPR@5% FPR of 0.0867
Min_60.0% renyi_05   AUC 0.4521, Accuracy 0.5033, TPR@5% FPR of 0.0333
Min_60.0% renyi_1   AUC 0.4488, Accuracy 0.5033, TPR@5% FPR of 0.0333
Min_60.0% renyi_2   AUC 0.4647, Accuracy 0.5017, TPR@5% FPR of 0.0467
Min_60.0% renyi_inf   AUC 0.5075, Accuracy 0.5400, TPR@5% FPR of 0.0667
Min_70.0% renyi_05   AUC 0.4610, Accuracy 0.5017, TPR@5% FPR of 0.0333
Min_70.0% renyi_1   AUC 0.4568, Accuracy 0.5033, TPR@5% FPR of 0.0300
Min_70.0% renyi_2   AUC 0.4671, Accuracy 0.5083, TPR@5% FPR of 0.0400
Min_70.0% renyi_inf   AUC 0.5112, Accuracy 0.5467, TPR@5% FPR of 0.0567
Min_80.0% renyi_05   AUC 0.4657, Accuracy 0.5017, TPR@5% FPR of 0.0400
Min_80.0% renyi_1   AUC 0.4623, Accuracy 0.5017, TPR@5% FPR of 0.0333
Min_80.0% renyi_2   AUC 0.4700, Accuracy 0.5050, TPR@5% FPR of 0.0333
Min_80.0% renyi_inf   AUC 0.5128, Accuracy 0.5500, TPR@5% FPR of 0.0500
Min_90.0% renyi_05   AUC 0.4685, Accuracy 0.5033, TPR@5% FPR of 0.0333
Min_90.0% renyi_1   AUC 0.4640, Accuracy 0.5033, TPR@5% FPR of 0.0333
Min_90.0% renyi_2   AUC 0.4669, Accuracy 0.5017, TPR@5% FPR of 0.0300
Min_90.0% renyi_inf   AUC 0.5131, Accuracy 0.5483, TPR@5% FPR of 0.0367
Min_100% renyi_05   AUC 0.4818, Accuracy 0.5083, TPR@5% FPR of 0.0367
Min_100% renyi_1   AUC 0.4729, Accuracy 0.5067, TPR@5% FPR of 0.0267
Min_100% renyi_2   AUC 0.4712, Accuracy 0.5067, TPR@5% FPR of 0.0367
Min_100% renyi_inf   AUC 0.5134, Accuracy 0.5450, TPR@5% FPR of 0.0633
