aug_kl   AUC 0.5877, Accuracy 0.5845, TPR@5% FPR of 0.0811
Min_0% renyi_1   AUC 0.4928, Accuracy 0.5270, TPR@5% FPR of 0.0507
Min_0% renyi_2   AUC 0.4925, Accuracy 0.5220, TPR@5% FPR of 0.0507
Min_0% renyi_inf   AUC 0.4925, Accuracy 0.5220, TPR@5% FPR of 0.0507
Min_5.0% renyi_05   AUC 0.4955, Accuracy 0.5304, TPR@5% FPR of 0.0541
Min_5.0% renyi_1   AUC 0.4928, Accuracy 0.5270, TPR@5% FPR of 0.0507
Min_5.0% renyi_2   AUC 0.4925, Accuracy 0.5220, TPR@5% FPR of 0.0507
Min_5.0% renyi_inf   AUC 0.4925, Accuracy 0.5220, TPR@5% FPR of 0.0507
Min_10.0% renyi_05   AUC 0.5195, Accuracy 0.5253, TPR@5% FPR of 0.0912
Min_10.0% renyi_1   AUC 0.5249, Accuracy 0.5355, TPR@5% FPR of 0.0676
Min_10.0% renyi_2   AUC 0.5268, Accuracy 0.5389, TPR@5% FPR of 0.0777
Min_10.0% renyi_inf   AUC 0.5267, Accuracy 0.5372, TPR@5% FPR of 0.0777
Min_20.0% renyi_05   AUC 0.5113, Accuracy 0.5220, TPR@5% FPR of 0.0642
Min_20.0% renyi_1   AUC 0.5168, Accuracy 0.5270, TPR@5% FPR of 0.0541
Min_20.0% renyi_2   AUC 0.5175, Accuracy 0.5321, TPR@5% FPR of 0.0541
Min_20.0% renyi_inf   AUC 0.5171, Accuracy 0.5321, TPR@5% FPR of 0.0541
Min_30.0% renyi_05   AUC 0.5144, Accuracy 0.5220, TPR@5% FPR of 0.0574
Min_30.0% renyi_1   AUC 0.5170, Accuracy 0.5270, TPR@5% FPR of 0.0676
Min_30.0% renyi_2   AUC 0.5145, Accuracy 0.5270, TPR@5% FPR of 0.0709
Min_30.0% renyi_inf   AUC 0.5135, Accuracy 0.5270, TPR@5% FPR of 0.0709
Min_40.0% renyi_05   AUC 0.5179, Accuracy 0.5270, TPR@5% FPR of 0.0574
Min_40.0% renyi_1   AUC 0.5215, Accuracy 0.5321, TPR@5% FPR of 0.0608
Min_40.0% renyi_2   AUC 0.5131, Accuracy 0.5236, TPR@5% FPR of 0.0574
Min_40.0% renyi_inf   AUC 0.5126, Accuracy 0.5220, TPR@5% FPR of 0.0574
Min_50.0% renyi_05   AUC 0.5165, Accuracy 0.5220, TPR@5% FPR of 0.0642
Min_50.0% renyi_1   AUC 0.5170, Accuracy 0.5203, TPR@5% FPR of 0.0473
Min_50.0% renyi_2   AUC 0.5142, Accuracy 0.5270, TPR@5% FPR of 0.0507
Min_50.0% renyi_inf   AUC 0.5136, Accuracy 0.5253, TPR@5% FPR of 0.0507
Min_60.0% renyi_05   AUC 0.5170, Accuracy 0.5236, TPR@5% FPR of 0.0676
Min_60.0% renyi_1   AUC 0.5186, Accuracy 0.5270, TPR@5% FPR of 0.0473
