Min_0% renyi_1   AUC 0.4984, Accuracy 0.5267, TPR@5% FPR of 0.0367
Min_0% renyi_2   AUC 0.5086, Accuracy 0.5467, TPR@5% FPR of 0.0400
Min_0% renyi_inf   AUC 0.4997, Accuracy 0.5167, TPR@5% FPR of 0.0433
Min_5.0% renyi_05   AUC 0.4940, Accuracy 0.5283, TPR@5% FPR of 0.0300
Min_5.0% renyi_1   AUC 0.4639, Accuracy 0.5050, TPR@5% FPR of 0.0233
Min_5.0% renyi_2   AUC 0.5231, Accuracy 0.5517, TPR@5% FPR of 0.0333
Min_5.0% renyi_inf   AUC 0.4819, Accuracy 0.5117, TPR@5% FPR of 0.0667
Min_10.0% renyi_05   AUC 0.4923, Accuracy 0.5300, TPR@5% FPR of 0.0367
Min_10.0% renyi_1   AUC 0.4697, Accuracy 0.5233, TPR@5% FPR of 0.0367
Min_10.0% renyi_2   AUC 0.5328, Accuracy 0.5500, TPR@5% FPR of 0.0200
Min_10.0% renyi_inf   AUC 0.4755, Accuracy 0.5117, TPR@5% FPR of 0.0533
Min_20.0% renyi_05   AUC 0.4810, Accuracy 0.5150, TPR@5% FPR of 0.0300
Min_20.0% renyi_1   AUC 0.4956, Accuracy 0.5333, TPR@5% FPR of 0.0267
Min_20.0% renyi_2   AUC 0.5335, Accuracy 0.5583, TPR@5% FPR of 0.0267
Min_20.0% renyi_inf   AUC 0.4835, Accuracy 0.5033, TPR@5% FPR of 0.0367
Min_30.0% renyi_05   AUC 0.4930, Accuracy 0.5233, TPR@5% FPR of 0.0167
Min_30.0% renyi_1   AUC 0.5081, Accuracy 0.5400, TPR@5% FPR of 0.0133
Min_30.0% renyi_2   AUC 0.5414, Accuracy 0.5633, TPR@5% FPR of 0.0300
Min_30.0% renyi_inf   AUC 0.4998, Accuracy 0.5317, TPR@5% FPR of 0.0367
Min_40.0% renyi_05   AUC 0.5016, Accuracy 0.5283, TPR@5% FPR of 0.0233
Min_40.0% renyi_1   AUC 0.5173, Accuracy 0.5567, TPR@5% FPR of 0.0233
Min_40.0% renyi_2   AUC 0.5489, Accuracy 0.5617, TPR@5% FPR of 0.0267
Min_40.0% renyi_inf   AUC 0.5020, Accuracy 0.5233, TPR@5% FPR of 0.0400
Min_50.0% renyi_05   AUC 0.4940, Accuracy 0.5300, TPR@5% FPR of 0.0333
Min_50.0% renyi_1   AUC 0.5214, Accuracy 0.5583, TPR@5% FPR of 0.0200
Min_50.0% renyi_2   AUC 0.5475, Accuracy 0.5567, TPR@5% FPR of 0.0300
Min_50.0% renyi_inf   AUC 0.5147, Accuracy 0.5300, TPR@5% FPR of 0.0433
Min_60.0% renyi_05   AUC 0.4985, Accuracy 0.5350, TPR@5% FPR of 0.0300
Min_60.0% renyi_1   AUC 0.5261, Accuracy 0.5600, TPR@5% FPR of 0.0267
Min_60.0% renyi_2   AUC 0.5501, Accuracy 0.5600, TPR@5% FPR of 0.0333
Min_60.0% renyi_inf   AUC 0.5338, Accuracy 0.5400, TPR@5% FPR of 0.0433
Min_70.0% renyi_05   AUC 0.5124, Accuracy 0.5333, TPR@5% FPR of 0.0367
Min_70.0% renyi_1   AUC 0.5313, Accuracy 0.5533, TPR@5% FPR of 0.0300
Min_70.0% renyi_2   AUC 0.5566, Accuracy 0.5567, TPR@5% FPR of 0.0800
Min_70.0% renyi_inf   AUC 0.5416, Accuracy 0.5500, TPR@5% FPR of 0.0433
Min_80.0% renyi_05   AUC 0.5237, Accuracy 0.5367, TPR@5% FPR of 0.0433
Min_80.0% renyi_1   AUC 0.5457, Accuracy 0.5500, TPR@5% FPR of 0.0533
Min_80.0% renyi_2   AUC 0.5674, Accuracy 0.5733, TPR@5% FPR of 0.0833
Min_80.0% renyi_inf   AUC 0.5435, Accuracy 0.5483, TPR@5% FPR of 0.0600
Min_90.0% renyi_05   AUC 0.5393, Accuracy 0.5583, TPR@5% FPR of 0.0500
Min_90.0% renyi_1   AUC 0.5595, Accuracy 0.5600, TPR@5% FPR of 0.0833
Min_90.0% renyi_2   AUC 0.5692, Accuracy 0.5700, TPR@5% FPR of 0.0633
Min_90.0% renyi_inf   AUC 0.5470, Accuracy 0.5533, TPR@5% FPR of 0.0600
Min_100% renyi_05   AUC 0.5323, Accuracy 0.5467, TPR@5% FPR of 0.0400
Min_100% renyi_1   AUC 0.5478, Accuracy 0.5600, TPR@5% FPR of 0.0533
Min_100% renyi_2   AUC 0.5647, Accuracy 0.5700, TPR@5% FPR of 0.0533
Min_100% renyi_inf   AUC 0.5586, Accuracy 0.5650, TPR@5% FPR of 0.0433
